St. Jude Medical. File Revision : 5.0.2
Export Data Element : EnGuideShadows
Export from Study : study_dwsG800321_2015_03_09_16_45_41
Export from Segment : LA EPOCH 7
Export User Comments : Add comments here
Export files Stored in Dir : /var/STJ/Clinical/systemStudy/study_dwsG800321_2015_03_09_16_45_41/export/2017_10_21_18_50_23/
Export Start Time (h:m:s.msec) : 19:43:16.348
Export Start Time (secs usecs) : 1425930196 347994
Export End Time (h:m:s.msec) : 19:43:21.348
Export End Time (secs usecs) : 1425930201 347994
Export Duration (h:m:s.msec) : 00:00:05.000


Text
Display: 0: NOT displayed, 1: Displayed, if possible
Visible: 0: NOT visible, 1: Visible
EnGuide ID
Number of Electrodes
R,G,B: EnGuide color values
sR,sG,sB: Shadow color values
Diameter
Electrode Len
Distal Len
Fit Status

Name,Display,Visibility,ID,num,R,G,B,sR,sG,sB,Diameter,eL,dL,Fs,
96,GOOD_FIT,0.695,-112.866,338.496,-17.698,-151.563,333.280,6.990,97,GOOD_FIT,-3.276,-106.935,336.904,-18.619,-145.771,334.147,6.990,98,GOOD_FIT,-6.990,-100.211,334.241,-19.058,-137.229,335.511,6.990,99,GOOD_FIT,-9.545,-93.165,330.347,-18.022,-127.122,335.569,6.990,100,GOOD_FIT,-12.693,-86.148,324.969,-17.949,-114.129,335.247,6.990,101,GOOD_FIT,-16.394,-79.175,316.833,-19.166,-101.380,329.261,6.990,102,GOOD_FIT,-20.851,-72.834,305.753,-22.300,-91.871,320.216,6.990,103,GOOD_FIT,-22.317,-68.809,295.310,-23.338,-88.299,306.952,0.000,
104,GOOD_FIT,2.645,-112.120,342.826,-13.808,-147.433,337.112,6.990,105,GOOD_FIT,-0.340,-105.536,344.652,-11.479,-136.682,343.573,6.990,106,GOOD_FIT,-2.910,-97.927,345.369,-10.073,-122.634,350.746,6.990,107,GOOD_FIT,-4.972,-90.913,341.777,-9.073,-111.107,350.454,6.990,108,GOOD_FIT,-7.143,-83.097,333.856,-8.329,-97.203,344.524,6.990,109,GOOD_FIT,-9.612,-76.045,323.604,-7.097,-82.126,335.234,6.990,110,GOOD_FIT,-13.142,-71.230,313.051,-8.159,-76.132,327.699,6.990,111,GOOD_FIT,-17.584,-68.501,299.007,-14.127,-81.018,312.657,0.000,
16,GOOD_FIT,60.754,-52.569,324.008,59.706,-17.341,331.276,2.000,17,GOOD_FIT,58.265,-54.302,323.253,58.022,-20.239,330.513,5.000,18,GOOD_FIT,53.450,-57.247,322.751,54.740,-25.997,330.032,2.000,19,GOOD_FIT,50.987,-58.802,321.640,52.982,-29.364,328.701,5.000,20,GOOD_FIT,46.304,-61.237,321.069,49.276,-34.451,327.840,2.000,21,GOOD_FIT,43.297,-63.037,320.284,46.688,-38.389,326.582,5.000,22,GOOD_FIT,38.955,-65.933,318.728,42.581,-45.811,324.017,2.000,23,GOOD_FIT,36.558,-67.656,318.030,40.322,-50.956,322.764,5.000,24,GOOD_FIT,31.711,-70.891,317.222,35.756,-60.549,321.156,2.000,25,GOOD_FIT,29.308,-72.243,315.632,33.443,-65.222,319.010,0.000,
16,GOOD_FIT,59.802,-53.502,325.822,58.864,-18.393,333.308,2.000,17,GOOD_FIT,57.234,-55.385,325.123,57.180,-21.778,332.711,5.000,18,GOOD_FIT,52.778,-58.103,324.286,54.187,-27.297,331.886,2.000,19,GOOD_FIT,50.111,-59.541,323.262,52.262,-30.357,330.706,5.000,20,GOOD_FIT,45.323,-62.104,322.520,48.472,-35.771,329.586,2.000,21,GOOD_FIT,42.407,-63.987,321.544,45.935,-39.922,328.054,5.000,22,GOOD_FIT,38.203,-67.200,320.089,41.870,-48.813,325.530,2.000,23,GOOD_FIT,35.933,-69.144,319.519,39.662,-54.502,324.366,5.000,24,GOOD_FIT,30.968,-72.445,318.701,34.951,-64.291,322.661,2.000,25,GOOD_FIT,28.691,-73.756,317.338,32.765,-68.797,320.747,0.000,
16,GOOD_FIT,54.083,-51.110,319.068,55.539,-15.512,327.181,2.000,17,GOOD_FIT,51.797,-53.529,318.356,53.803,-19.622,326.147,5.000,18,GOOD_FIT,47.315,-57.104,317.709,50.324,-26.726,324.914,2.000,19,GOOD_FIT,45.017,-58.709,316.683,48.429,-30.416,323.446,5.000,20,GOOD_FIT,40.443,-61.540,315.855,44.292,-36.614,321.894,2.000,21,GOOD_FIT,37.635,-63.208,314.845,41.893,-40.827,320.226,5.000,22,GOOD_FIT,33.430,-66.082,312.758,38.265,-49.384,317.163,2.000,23,GOOD_FIT,31.211,-67.786,311.967,36.250,-54.691,316.017,5.000,24,GOOD_FIT,26.261,-70.626,310.267,32.084,-64.305,313.949,2.000,25,GOOD_FIT,23.980,-71.855,308.752,30.271,-69.061,312.316,0.000,
0,GOOD_FIT,4.354,-117.890,341.261,-15.805,-154.919,333.484,6.990,1,GOOD_FIT,0.561,-111.711,343.155,-15.977,-147.726,337.762,6.990,2,GOOD_FIT,-3.043,-104.748,343.144,-15.089,-138.043,342.230,6.990,3,GOOD_FIT,-6.057,-96.974,340.354,-14.380,-125.641,345.400,6.990,4,GOOD_FIT,-8.828,-90.170,334.746,-14.596,-115.490,342.917,6.990,5,GOOD_FIT,-12.293,-82.947,326.056,-15.241,-103.551,337.981,6.990,6,GOOD_FIT,-17.149,-76.589,314.998,-18.404,-94.130,329.433,6.990,7,GOOD_FIT,-21.390,-71.274,301.518,-22.874,-91.157,314.229,0.000,
8,GOOD_FIT,6.868,-118.007,343.310,-12.676,-153.199,334.677,6.990,9,GOOD_FIT,5.693,-111.626,348.701,-7.829,-141.063,344.029,6.990,10,GOOD_FIT,3.144,-103.186,349.976,-4.498,-126.805,352.581,6.990,11,GOOD_FIT,0.197,-95.156,346.865,-3.914,-115.358,354.310,6.990,12,GOOD_FIT,-3.031,-86.837,339.753,-4.025,-102.548,349.089,6.990,13,GOOD_FIT,-5.510,-78.807,331.521,-3.660,-84.646,341.071,6.990,14,GOOD_FIT,-8.670,-73.293,321.577,-3.919,-74.561,333.425,6.990,15,GOOD_FIT,-15.801,-69.624,305.294,-11.003,-78.103,320.505,0.000,
32,GOOD_FIT,9.527,-119.573,343.135,-10.758,-154.116,333.755,6.990,33,GOOD_FIT,11.292,-112.644,347.374,-1.894,-140.600,341.599,6.990,34,GOOD_FIT,10.378,-102.871,347.457,4.419,-124.524,348.691,6.990,35,GOOD_FIT,7.739,-94.143,344.227,5.913,-111.750,349.861,6.990,36,GOOD_FIT,6.414,-84.239,338.041,9.692,-94.068,345.548,6.990,37,GOOD_FIT,3.732,-77.817,332.138,8.953,-78.619,339.034,6.990,38,GOOD_FIT,-0.714,-72.651,321.936,6.789,-69.733,330.342,6.990,39,GOOD_FIT,-11.278,-69.965,305.504,-4.036,-76.897,319.796,0.000,
40,GOOD_FIT,10.219,-117.193,336.968,-9.898,-153.754,329.332,6.990,41,GOOD_FIT,15.077,-107.589,331.362,2.179,-139.444,327.312,6.990,42,GOOD_FIT,21.376,-100.049,326.079,14.124,-125.757,324.121,6.990,43,GOOD_FIT,24.156,-93.079,322.231,21.486,-113.427,322.031,6.990,44,GOOD_FIT,21.291,-86.302,317.866,22.942,-103.562,319.274,6.990,45,GOOD_FIT,14.249,-80.302,312.094,19.377,-93.919,315.709,6.990,46,GOOD_FIT,1.837,-75.335,306.260,10.693,-87.903,315.168,6.990,47,GOOD_FIT,-10.365,-71.507,299.043,-4.927,-89.212,309.757,0.000,
64,GOOD_FIT,8.625,-117.872,333.178,-12.377,-156.357,326.691,6.990,65,GOOD_FIT,13.609,-109.336,322.827,-2.608,-146.659,319.064,6.990,66,GOOD_FIT,18.947,-102.824,314.321,6.670,-137.595,311.383,6.990,67,GOOD_FIT,18.073,-96.749,308.646,9.747,-130.053,307.479,6.990,68,GOOD_FIT,13.630,-90.566,304.496,9.938,-123.385,305.048,6.990,69,GOOD_FIT,6.242,-84.587,301.743,6.645,-118.533,304.110,6.990,70,GOOD_FIT,-3.257,-78.824,299.063,-0.961,-108.918,304.577,6.990,71,GOOD_FIT,-14.111,-73.108,295.577,-14.259,-101.907,302.923,0.000,
