St. Jude Medical. File Revision : 5.0.2
Export Data Element : Labels
Export from Study : study_dwsG800321_2015_03_09_16_45_41
Export from Segment : LA EPOCH 7
Export User Comments : Add comments here
Export files Stored in Dir : /var/STJ/Clinical/systemStudy/study_dwsG800321_2015_03_09_16_45_41/export/2017_10_21_18_50_23/
Export Start Time (h:m:s.msec) : 19:43:16.348
Export Start Time (secs usecs) : 1425930196 347994
Export End Time (h:m:s.msec) : 19:43:21.348
Export End Time (secs usecs) : 1425930201 347994
Export Duration (h:m:s.msec) : 00:00:05.000

Text: Label Name
Type: 3DP|3DE|3DD|DIF|ENS
   3DP: 3D label at an EnGuide electrode location BUT projected onto a surface, if possible
   3DE: 3D label at an EnGuide electrode location
   ENS: Surface label placed on an EnSite surface
   3DD: 3D label imported as part of a DIF file
   DIF: Surface label placed on a DIF surface
Surface: Name of surface on which label is placed or projected, if any
x,y,z: Coordinates of center of label in space
xt,yt,zt: Coordinates of transformed center of label in space
xw,yw,zw: Coordinates of actual center of label in space
Display: 0: NOT displayed, 1: Displayed, if possible
Visible: 0: NOT visible, 1: Visible

Number of waves (columns): ,11                  
Number of samples (rows): ,146                 
Text,Type,Surface,x,y,z,xt,yt,zt,xw,yw,zw,Display,Visible,
PHR,3DP,RA,-2.910,-99.973,359.465,-9.456,-117.829,366.073,-13.209,-121.108,366.362,0,1
H3 ,ENS,RA,-7.369,-99.768,348.286,-17.052,-126.108,353.358,-15.399,-125.551,352.606,0,1
o,ENS,RA,25.390,-101.199,327.966,17.968,-124.831,325.869,17.380,-124.260,325.440,0,1
o,ENS,RA,23.924,-104.877,326.964,13.416,-132.497,323.503,12.772,-131.802,323.307,0,1
o,ENS,RA,21.741,-106.542,325.026,9.088,-137.345,320.724,8.298,-136.539,320.317,0,1
o,ENS,RA,22.546,-109.190,320.686,7.126,-142.811,315.918,6.680,-142.364,315.638,0,1
o,ENS,RA,18.524,-106.003,314.464,3.814,-142.757,311.152,3.740,-141.921,312.020,0,1
o,ENS,RA,13.022,-99.687,307.244,1.825,-137.940,306.771,1.652,-137.479,307.241,0,1
o,ENS,RA,10.693,-94.560,301.253,2.038,-133.687,301.848,1.435,-132.862,302.936,0,1
o,ENS,RA,5.780,-84.106,294.036,3.943,-121.418,296.446,3.582,-121.228,297.154,0,1
o,ENS,RA,7.358,-78.864,293.498,12.205,-106.747,297.282,11.402,-106.689,298.639,0,1
o,ENS,RA,14.208,-77.920,300.984,20.842,-94.608,304.589,20.136,-94.783,305.313,0,1
o,ENS,RA,19.660,-78.564,309.677,24.733,-88.150,312.408,24.166,-88.528,312.740,0,1
o,ENS,RA,20.388,-81.720,318.818,24.203,-91.867,321.467,23.959,-91.891,321.382,0,1
o,ENS,RA,22.789,-85.443,325.387,24.930,-97.708,327.870,24.970,-97.693,327.867,0,1
o,ENS,RA,24.106,-89.791,328.359,23.923,-104.395,329.960,24.807,-104.805,329.926,0,1
o,ENS,RA,24.076,-95.605,328.713,20.707,-115.354,328.533,20.184,-115.180,328.163,0,1
A 2,ENS,RAA,-1.631,-113.358,347.253,-18.966,-149.093,340.802,-18.252,-148.848,339.994,0,1
o,ENS,RA,-3.718,-108.947,346.254,-18.359,-143.094,343.081,-18.171,-142.978,342.819,0,1
o,ENS,RAA,-0.234,-113.733,348.706,-17.142,-148.094,342.154,-16.906,-147.683,341.225,0,1
o,ENS,RAA,1.773,-117.063,349.197,-16.559,-151.196,340.952,-16.240,-151.016,340.131,0,1
o,ENS,RAA,0.158,-116.422,348.131,-18.541,-152.048,340.032,-17.896,-151.821,339.146,0,1
o,ENS,RAA,-1.611,-114.421,346.420,-20.064,-151.584,338.973,-19.002,-151.349,338.258,0,1
o,ENS,RA,-3.341,-112.007,344.653,-20.539,-149.037,339.211,-19.603,-148.717,338.490,0,1
o,ENS,RA,-5.327,-109.196,343.119,-21.231,-146.097,339.742,-20.407,-145.698,339.093,0,1
o,ENS,LA,19.027,-78.489,396.944,23.373,-59.545,390.822,23.568,-59.529,390.513,0,1
o,ENS,LA,21.109,-79.333,398.790,25.024,-60.726,391.784,25.228,-60.682,391.167,0,1
o,ENS,LA,25.328,-80.610,399.991,28.688,-62.719,392.165,28.446,-62.437,390.980,0,1
o,ENS,LA,27.553,-81.402,398.294,30.667,-64.446,390.902,30.378,-63.962,389.900,0,1
o,ENS,LA,28.545,-81.876,396.888,31.559,-65.574,389.918,31.102,-64.692,389.164,0,1
o,ENS,LA,28.836,-81.855,394.922,31.894,-65.978,388.673,31.467,-65.287,388.150,0,1
o,ENS,LA,27.234,-81.707,391.208,30.550,-66.641,386.629,30.344,-66.033,386.630,0,1
o,ENS,LA,25.188,-82.172,390.439,28.592,-67.760,386.437,28.307,-66.685,386.427,0,1
o,ENS,LA,23.584,-82.348,389.942,27.076,-68.276,386.357,26.919,-66.904,386.211,0,1
o,ENS,LA,20.797,-82.036,393.776,24.380,-66.897,388.994,24.674,-66.050,388.338,0,1
